Date,시가,고가,저가,종가,거래량,변동률
2022-11-17,"27,900원","28,800원","27,550원","28,250원","3,864,461건",-0.18%
2022-11-18,"28,300원","28,500원","26,950원","27,700원","4,459,794건",-1.95%
2022-11-21,"27,400원","28,350원","26,700원","26,850원","3,689,255건",-3.07%
2022-11-22,"26,600원","26,650원","24,900원","25,000원","5,517,295건",-6.89%
2022-11-23,"25,900원","26,750원","24,850원","25,000원","5,018,825건",0.00%
2022-11-24,"25,150원","26,150원","25,150원","25,800원","2,999,955건",3.20%
2022-11-25,"25,550원","26,750원","25,050원","26,400원","3,857,123건",2.33%
2022-11-28,"26,400원","26,400원","24,700원","25,000원","2,891,018건",-5.30%
2022-11-29,"24,750원","25,350원","24,400원","25,050원","2,282,850건",0.20%
2022-11-30,"24,800원","25,050원","24,450원","25,050원","3,987,073건",0.00%
2022-12-01,"26,250원","28,150원","26,200원","26,500원","8,803,813건",5.79%
2022-12-02,"26,700원","27,450원","26,150원","26,250원","3,444,549건",-0.94%
2022-12-05,"26,550원","27,950원","26,500원","27,400원","6,193,979건",4.38%
2022-12-06,"26,950원","28,100원","26,600원","27,650원","4,010,849건",0.91%
2022-12-07,"27,350원","27,550원","26,600원","26,800원","2,459,232건",-3.07%
2022-12-08,"26,950원","27,650원","26,700원","27,450원","2,774,536건",2.43%
2022-12-09,"27,800원","28,150원","27,400원","28,100원","3,539,550건",2.37%
2022-12-12,"28,000원","28,650원","27,400원","28,000원","2,818,746건",-0.36%
2022-12-13,"28,500원","29,050원","28,250원","29,000원","4,514,967건",3.57%
2022-12-14,"29,500원","29,500원","28,400원","28,700원","3,122,812건",-1.03%
2022-12-15,"28,300원","28,500원","25,800원","26,050원","5,868,570건",-9.23%
2022-12-16,"25,250원","26,700원","25,100원","26,000원","3,220,011건",-0.19%
2022-12-19,"25,600원","26,650원","25,550원","25,900원","1,859,512건",-0.38%
2022-12-20,"25,800원","26,350원","25,600원","25,900원","1,732,074건",0.00%
2022-12-21,"26,250원","26,400원","25,600원","26,300원","1,395,898건",1.54%
2022-12-22,"26,700원","26,800원","26,200원","26,350원","131,020,654건",0.19%
2022-12-23,"26,000원","26,200원","25,050원","25,100원","2,382,779건",-4.74%
2022-12-26,"25,300원","25,400원","24,650원","25,100원","1,510,762건",0.00%
2022-12-27,"25,100원","25,850원","25,100원","25,800원","1,518,799건",2.79%
2022-12-28,"25,500원","25,650원","24,900원","25,050원","1,716,525건",-2.91%
2022-12-29,"24,850원","25,400원","23,950원","24,300원","1,906,638건",-2.99%
